Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
HIGADO_12	41688577.0	98.0	28734082.0	68.93	97.45	10891531.0	10882082.0	10718317.0	107561.0	19225.0	46428.0	0.42	0.01	1.84	0.01	1.49	11691536.0	28.04	103848.0	0.25	0.0	2.12	0.66	0	883926	275185
HIGADO_13	58688681.0	98.0	41953803.0	71.49	97.45	16395995.0	16380401.0	16166587.0	156122.0	20354.0	52932.0	0.42	0.01	1.87	0.01	1.5	13754329.0	23.44	98898.0	0.17	0.0	3.46	1.45	0	2030654	850997
HIGADO_14	54877437.0	98.0	39380660.0	71.76	97.45	15847252.0	15830000.0	15620106.0	137539.0	23552.0	66055.0	0.42	0.01	1.86	0.01	1.57	13630643.0	24.84	147924.0	0.27	0.0	2.54	0.59	0	1394330	323880
HIGADO_15	54125423.0	98.0	38150507.0	70.49	97.36	15298968.0	15278649.0	14983735.0	225688.0	23623.0	65922.0	0.42	0.01	1.88	0.01	1.37	13673105.0	25.26	150093.0	0.28	0.0	3.08	0.89	0	1669343	482375
HIGADO_16	33998921.0	98.0	22125361.0	65.08	97.47	8756164.0	8746043.0	8657053.0	51769.0	4751.0	42591.0	0.42	0.01	2.17	0.01	1.36	9608183.0	28.26	84269.0	0.25	0.0	4.09	2.32	0	1391690	789418
HIGADO_17	48762329.0	97.0	35220541.0	72.23	97.23	13381854.0	13359191.0	13180907.0	98852.0	26799.0	75296.0	0.41	0.01	1.98	0.01	1.57	11455595.0	23.49	59452.0	0.12	0.0	2.94	1.22	0	1432360	594381
HIGADO_18	62122436.0	98.0	40672827.0	65.47	97.52	14818650.0	14793936.0	14513374.0	198258.0	29683.0	77335.0	0.42	0.01	2.05	0.01	1.56	17650349.0	28.41	242680.0	0.39	0.0	3.47	2.25	0	2157576	1399004
HIGADO_19	45815288.0	98.0	34097232.0	74.42	97.51	13139154.0	13125887.0	12952306.0	116812.0	16931.0	53105.0	0.39	0.01	1.84	0.01	1.51	9966936.0	21.75	89877.0	0.2	0.0	2.49	1.14	0	1139530	521713
HIGADO_20	31004589.0	98.0	22541888.0	72.71	97.53	8419250.0	8410931.0	8303260.0	78572.0	7260.0	30158.0	0.41	0.01	1.84	0.01	1.48	7368163.0	23.76	132472.0	0.43	0.0	2.55	0.55	0	791377	170689
HIGADO_21	73584095.0	97.0	52930591.0	71.93	97.09	20310831.0	20293709.0	20011213.0	174845.0	40004.0	84769.0	0.42	0.01	1.87	0.01	1.53	17828957.0	24.23	90863.0	0.12	0.0	2.53	1.18	0	1864210	869474
HIGADO_22	21233255.0	97.0	15075900.0	71.0	97.0	6105529.0	6095884.0	6019196.0	55042.0	3576.0	27715.0	0.41	0.01	2.02	0.01	1.56	4853410.0	22.86	89955.0	0.42	0.0	4.39	1.33	0	931716	282274
HIGADO_23	45819837.0	98.0	33196398.0	72.45	97.48	12536636.0	12524033.0	12401006.0	79038.0	10261.0	46331.0	0.42	0.01	1.97	0.01	1.44	10815548.0	23.6	112753.0	0.25	0.0	2.77	0.93	0	1269063	426075
HIGADO_24	48151411.0	98.0	34110481.0	70.84	97.36	13435847.0	13422327.0	13271104.0	90750.0	21474.0	52519.0	0.41	0.01	1.93	0.01	1.51	12260758.0	25.46	49929.0	0.1	0.0	2.64	0.96	0	1268845	461398
HIGADO_25	19526714.0	98.0	15562784.0	79.7	97.55	5895340.0	5890411.0	5813590.0	45461.0	11265.0	25024.0	0.4	0.01	1.84	0.01	1.59	3445357.0	17.64	18684.0	0.1	0.0	2.08	0.48	0	406160	93729
HIGADO_26	27478589.0	98.0	21807185.0	79.36	97.65	8081075.0	8070995.0	7975773.0	60204.0	6703.0	38395.0	0.39	0.01	1.84	0.01	1.58	4923467.0	17.92	90569.0	0.33	0.0	2.22	0.17	0	610610	46758
HIGADO_27	40571810.0	98.0	33035756.0	81.43	97.6	12809885.0	12800083.0	12653133.0	80871.0	20892.0	54989.0	0.39	0.01	1.95	0.01	1.63	6565964.0	16.18	27484.0	0.07	0.0	1.83	0.49	0	743521	199085
HIGADO_28	25215078.0	98.0	20690445.0	82.06	97.68	7998041.0	7991805.0	7912096.0	49721.0	6687.0	29537.0	0.39	0.01	1.83	0.01	1.61	3903629.0	15.48	28632.0	0.11	0.0	2.1	0.25	0	529354	63018
HIGADO_29	27071794.0	98.0	20316733.0	75.05	97.51	7654502.0	7645190.0	7556608.0	52288.0	9631.0	35975.0	0.41	0.01	1.92	0.01	1.49	5749977.0	21.24	18489.0	0.07	0.0	2.92	0.72	0	791444	195151
HIGADO_30	34157456.0	98.0	26550926.0	77.73	97.55	10132353.0	10122047.0	10025116.0	59411.0	10722.0	37104.0	0.4	0.01	1.91	0.01	1.54	6537489.0	19.14	80348.0	0.24	0.0	2.3	0.6	0	784136	204557
HIGADO_31	25972145.0	98.0	19542613.0	75.24	97.56	7184818.0	7178121.0	7091322.0	52072.0	10728.0	30696.0	0.41	0.01	1.91	0.01	1.55	5554117.0	21.38	24249.0	0.09	0.0	2.71	0.56	0	705401	145765
HIGADO_32	26221391.0	98.0	20970695.0	79.98	97.66	8158403.0	8150248.0	8057359.0	54598.0	9687.0	36759.0	0.4	0.01	1.89	0.01	1.52	4630401.0	17.66	57819.0	0.22	0.0	1.86	0.29	0	486607	75869
HIGADO_33	32138088.0	98.0	23766007.0	73.95	97.29	9309118.0	9296192.0	9161039.0	104500.0	3323.0	40256.0	0.4	0.01	1.93	0.01	1.5	6826237.0	21.24	111929.0	0.35	0.0	3.21	1.25	0	1032033	401882
HIGADO_34	58668690.0	97.0	43421652.0	74.01	97.16	15883289.0	15864442.0	15633263.0	127717.0	51519.0	70790.0	0.42	0.01	2.1	0.01	1.58	12393189.0	21.12	73511.0	0.13	0.0	3.55	1.19	0	2082321	698017
HIGADO_35	29583601.0	97.0	20261213.0	68.49	96.5	7465583.0	7455268.0	7361564.0	54951.0	10574.0	38494.0	0.42	0.02	2.08	0.01	1.58	7409031.0	25.04	62841.0	0.21	0.0	4.64	1.61	0	1373823	476693
HIGADO_36	37342565.0	98.0	28170114.0	75.44	97.25	10794152.0	10780800.0	10620936.0	112385.0	17019.0	43812.0	0.4	0.01	2.09	0.01	1.61	7779667.0	20.83	34736.0	0.09	0.0	2.92	0.71	0	1092424	265624
