Sample	CDS_Exons	5'UTR_Exons	3'UTR_Exons	Introns	TSS_up_1kb	TSS_up_1kb-5kb	TSS_up_5kb-10kb	TES_down_1kb	TES_down_1kb-5kb	TES_down_5kb-10kb	Other_intergenic
MUSCULO_72	2576808.0	83221.0	633029.0	686203.0	25938.0	29251.0	26513.0	152518.0	186655.0	41124.0	420523.0
MUSCULO_73	4185383.0	142903.0	998982.0	1093797.0	44681.0	46865.0	41839.0	247927.0	310736.0	67452.0	663703.0
MUSCULO_74	4604040.0	155619.0	1128604.0	1505143.0	50452.0	58466.0	52315.0	280582.0	356869.0	78623.0	783029.0
MUSCULO_75	3970286.0	132139.0	942599.0	999528.0	40087.0	43648.0	38895.0	230051.0	283601.0	61072.0	587132.0
MUSCULO_76	4061148.0	117218.0	1008533.0	1619222.0	38831.0	54790.0	49357.0	253770.0	327286.0	75791.0	722368.0
MUSCULO_77	5798469.0	193214.0	1417042.0	2588903.0	66455.0	86543.0	77682.0	370143.0	493472.0	119287.0	1125846.0
MUSCULO_78	5073063.0	191270.0	1208973.0	1268736.0	60727.0	56779.0	49453.0	299451.0	376271.0	81316.0	757149.0
MUSCULO_79	4259649.0	145791.0	1017140.0	1366105.0	48941.0	54373.0	48514.0	256295.0	327072.0	74671.0	721125.0
MUSCULO_80	3468247.0	128086.0	860702.0	1130369.0	40445.0	42415.0	38773.0	210764.0	260075.0	57788.0	611827.0
MUSCULO_81	3732393.0	136219.0	898111.0	802406.0	41588.0	39018.0	33280.0	215923.0	259036.0	53656.0	527537.0
MUSCULO_82	3957964.0	128633.0	986921.0	1780981.0	44618.0	59568.0	54372.0	258615.0	341605.0	83661.0	797175.0
MUSCULO_83	5014273.0	187633.0	1210655.0	1419254.0	60895.0	61315.0	52616.0	301014.0	378760.0	82942.0	795353.0
MUSCULO_84	4493220.0	133279.0	1060040.0	1489434.0	42544.0	57009.0	49399.0	267525.0	339228.0	75725.0	722214.0
MUSCULO_85	4352948.0	148135.0	1078405.0	1177827.0	46795.0	51312.0	45135.0	269397.0	343939.0	74512.0	695580.0
MUSCULO_86	3557451.0	139150.0	842332.0	863834.0	44214.0	40098.0	34884.0	207264.0	255063.0	54619.0	546363.0
MUSCULO_87	4180365.0	149626.0	1027420.0	1389936.0	48550.0	53142.0	47130.0	251888.0	315950.0	70449.0	709724.0
MUSCULO_88	4233015.0	171323.0	956919.0	1874561.0	58521.0	66271.0	58995.0	245209.0	321800.0	83454.0	858529.0
MUSCULO_89	3212009.0	85816.0	742932.0	916200.0	26492.0	37300.0	33861.0	189411.0	244192.0	53934.0	516389.0
MUSCULO_90	6750900.0	237389.0	1604829.0	2249999.0	79998.0	91395.0	79289.0	426502.0	567491.0	130744.0	1143360.0
MUSCULO_91	4719430.0	160436.0	1114667.0	1774264.0	52015.0	65074.0	56089.0	282666.0	360914.0	83481.0	795967.0
MUSCULO_92	4505929.0	125034.0	1073165.0	2441265.0	43960.0	73211.0	68177.0	284829.0	384807.0	96550.0	956023.0
MUSCULO_93	4281808.0	147671.0	1082341.0	1164262.0	45874.0	50117.0	45098.0	272964.0	348385.0	75975.0	716854.0
MUSCULO_94	3349145.0	115570.0	806621.0	1040200.0	37318.0	42589.0	38970.0	203487.0	259741.0	60926.0	588355.0
MUSCULO_95	4596338.0	156908.0	1105072.0	1422824.0	51724.0	59170.0	51721.0	276226.0	348553.0	77682.0	756269.0
MUSCULO_96	3774886.0	123271.0	940354.0	3416028.0	51081.0	90469.0	84505.0	252229.0	350817.0	107586.0	1177186.0
MUSCULO_97	2861795.0	129733.0	683705.0	767674.0	41978.0	33841.0	29135.0	157179.0	175598.0	39692.0	485760.0
MUSCULO_98	4393703.0	140635.0	1100125.0	4154093.0	59383.0	106439.0	101368.0	298669.0	421427.0	130242.0	1421452.0
MUSCULO_99	4437119.0	157437.0	1057396.0	1355698.0	50277.0	55276.0	49491.0	264138.0	330824.0	73656.0	734068.0
